commit	val_loss	memory_gb	status	description
8d9dec1	0.498289	4.0645	15.06	keep	baseline: 17 binary heads, bce_logit, 15 epochs, default hyperparams
1b0fb3b	0.369516	4.4234	16.12	discard	view embeddings (12 classes) + dropout 0.35/0.4 — worse than baseline
d78b82f	0.369665	4.4204	16.12	discard	view embeddings only (12 classes) — worse, extra params hurt with small data
d7db731	0.000000	0.000000	0.00	crash	freeze_ratio 0.95 — OOM (freeze_ratio = unfrozen_ratio, not frozen_ratio)
e17f6fa	0.506496	4.0582	23.48	keep	freeze_ratio 0.85->0.5 (more frozen): mean_auc +0.008, val_loss improved
f3e90c5	0.506796	4.0572	9.07	keep	freeze_ratio 0.5->0.2: marginal improvement, much less memory (9GB)
6cdc075	0.506955	4.0545	1.34	keep	fully frozen encoder (freeze=0.0): same perf, only 1.3GB memory
6d637df	0.505615	4.1218	1.34	discard	head_lr 3e-4->1e-3: slightly worse, higher val_loss
8f3868a	0.494411	4.0093	1.34	discard	head_lr 3e-4->5e-5: lower val_loss but worse AUC (underfitting)
39c6ed9	0.506955	4.0545	1.34	discard	head_wd 1e-5->1e-3: identical results, no effect with frozen encoder
5cf159a	0.463033	9.6772	1.34	discard	upweight mid_lad 5x, prox_lad 3x: hurt mean_auc, sparse heads underfitted
8f326d9	0.487439	3.8989	1.34	discard	30 epochs: timed out at 19, overfitted, worse mean_auc
f5ecc43	0.523566	4.0658	1.34	keep	rand_augment=true with frozen encoder: mean_auc +0.017, best so far
37615b8	0.504510	4.0658	1.34	discard	attention heads 6->2: worse mean_auc, fewer heads hurt aggregation
2de250f	0.510799	4.1514	1.34	discard	attention dropout 0.24->0.5: slightly worse, too much regularization
89bb068	0.486555	4.1514	1.34	discard	head_dropout 0.2->0.4: much worse, too much head regularization
78501cf	0.510799	4.6760	1.34	discard	grad_accum 1->4: no improvement, slower convergence
8359099	0.504574	2.9256	0.80	discard	batch_size 12->6: unstable sparse heads, worse mean despite better key heads
a346316	0.521137	2.9590	0.80	discard	warmup 0.089->0.2: close but dist_lad/D2 at 0 dragged mean down
7b5323a	0.000000	0.0000	2.25	crash	binary_focal loss: BinaryFocalLoss has bce_loss attribute bug
7aabee3	0.000000	0.0000	2.19	crash	attention_hidden 256->128: crashed due to stale binary_focal from bad revert
b0d31f2	0.560157	3.9225	1.34	keep	attention_hidden 256->128: NEW BEST mean_auc +0.037, dist_rca perfect
79eb059	0.569848	3.8808	1.34	keep	warmup 0.089->0.2 on top of attention_hidden=128: NEW BEST, left_main improved
1b48589	0.537824	4.8071	1.34	discard	num_videos 10->5: worse, fewer videos = less signal
b020edb	0.569928	3.8600	1.34	discard	head_lr 3e-4->1e-4: identical result, no effect
90fb8fd	0.537492	4.7024	1.34	discard	attention_hidden 128->64: too small, worse than 128
a9baed4	0.587854	3.6288	1.34	keep	seed 42->123: NEW BEST, different initialization finds better optimum
08bf1a7	0.532180	4.0975	1.34	discard	seed 123->7: worse random init, D1/D2 very low
6da040a	0.638352	3.6502	1.34	keep	seed 123->314: HUGE improvement, D2 perfect, prox_rca 0.875
d0d6397	0.581788	3.6503	1.34	discard	seed 314->2024: worse overall despite dist_lad perfect
c8369af	0.601376	3.6112	1.34	discard	epochs 15->20: overfitting in extra epochs, dist_lad crashed to 0
1d49e59	0.589651	3.9190	1.34	discard	shuffle_videos true: worse, video ordering matters for attention
21ce32e	0.579826	4.6340	1.34	discard	separate_video_attention true: more params, worse with small data
50d7094	0.628045	3.6502	1.34	discard	hard_restarts 3->1: slightly worse, 3 cycles is better
